"Species","Distance.m","Angle.degrees","Tree.Height.m"
"Metasequoia glyptostroboides",36.7305195052177,25.2483093517367,18.8404390547512
"Fagus sylvatica",35.2053026808426,26.6025140462443,18.7696967784831
"Ginkgo biloba",37.1359657170251,25.7740561838727,19.5182105889105
"Betula pendula",49.0705289924517,22.1340628678445,25.5257188716889
"Ginkgo biloba",37.7177836187184,38.4513014333788,29.7376113667775
"Quercus robur",38.6944898404181,28.8151913310867,23.0807719088171
"Metasequoia glyptostroboides",43.7934040511027,43.4747779497411,41.6812067836108
"Quercus robur",31.1318424111232,36.4222790568601,21.9989404857546
"Fraxinus excelsior",46.5926557453349,40.0547198357526,42.3458044668944
"Fagus sylvatica",46.8141130637378,42.2744762897491,45.0399720248941
"Metasequoia glyptostroboides",43.3638163143769,25.2968545409385,23.8918023182671
"Metasequoia glyptostroboides",43.2250146940351,29.3812054779846,27.6149376326938
"Metasequoia glyptostroboides",30.3724726615474,26.0244086605962,15.2516275975971
"Ginkgo biloba",36.2616367125884,26.9264538411517,19.7517029291011
"Fraxinus excelsior",43.0547891696915,38.551938253222,36.0192484303591
"Metasequoia glyptostroboides",31.8466471461579,27.0579518273007,16.8071541748531
"Pinus sylvestris",32.148510729894,43.5628935683053,27.3783762151747
"Carpinus betulus",31.9652264704928,32.4111447832547,20.2253900018275
"Alnus glutinosa",33.2068143971264,39.2829246632755,25.7126988231865
"Ginkgo biloba",46.2207302916795,22.6515088393353,23.6378890291759
"Populus tremula",34.6725190524012,29.0177269594278,20.0722426161509
"Metasequoia glyptostroboides",31.6282911319286,27.4797301611397,16.924352687289
"Pinus sylvestris",42.4521899130195,36.4182837354019,33.3153458829203
"Carpinus betulus",44.0396487526596,26.9310160295572,26.0430196298975
"Quercus robur",47.0961082773283,43.5438830161002,46.8524165857514
"Populus tremula",32.2839726274833,32.886884593172,20.7773517213958
"Fraxinus excelsior",49.0115680545568,30.479611356277,35.0770828292594
"Populus tremula",43.1407250231132,28.9061927516013,27.0885005588087
"Ginkgo biloba",45.5459984904155,32.2224305989221,32.842483605224
"Carpinus betulus",31.2111467495561,39.5559814048465,23.9664731579567
"Fraxinus excelsior",42.0305995130911,37.7148740214761,33.9951144854968
"Metasequoia glyptostroboides",31.918618218042,43.9337977429386,27.3661920572026
"Pinus sylvestris",41.8378670746461,30.7671553385444,27.5456231348796
"Metasequoia glyptostroboides",44.3048819759861,44.4214324338827,43.3564502888048
"Populus tremula",33.7106570415199,22.4894612724893,15.00465054137
"Metasequoia glyptostroboides",44.3288471642882,37.6085923507344,36.7376732404199
"Ginkgo biloba",38.8612799486145,23.7011940556113,19.0980215480459
"Quercus robur",40.2974182832986,41.5249906526878,35.2125363607865
"Pinus sylvestris",39.4655588641763,42.5670967833139,35.0466529104529
"Metasequoia glyptostroboides",31.1997501179576,36.4470520627219,22.0729020687496
"Fraxinus excelsior",49.7581105213612,20.4188025603071,24.1265883583229
"Ginkgo biloba",39.0433466527611,35.7310830720235,28.9792463417577
"Quercus robur",37.2985610784963,30.0138944864739,22.8632692250048
"Metasequoia glyptostroboides",42.3745733685791,33.7517177441623,30.7920974495983
"Ginkgo biloba",40.405092779547,33.9635875006206,28.9104845270395
"Betula pendula",40.3485652338713,32.1756120526697,27.3338247483534
"Ginkgo biloba",47.1486219018698,26.6794721642509,28.7594354954648
"Ginkgo biloba",33.7005372857675,20.654582423158,13.7751739721561
"Carpinus betulus",30.6755190063268,26.8811376637314,15.9453206614477
"Quercus robur",31.8700994597748,23.1649143493269,14.4021221099253
"Fagus sylvatica",37.50953507144,36.5860947454348,28.0831726279974
"Carpinus betulus",46.1398328468204,43.9787996921223,45.7643711862292
"Ginkgo biloba",39.7066187299788,29.9145355867222,24.841364049
"Alnus glutinosa",41.0378486057743,22.0238169818185,19.1705690046487
"Pinus sylvestris",33.4058833960444,35.9963867568877,23.7405475637992
"Carpinus betulus",39.501561964862,30.2981362491846,24.9772434064789
"Fagus sylvatica",43.9889151183888,27.0793361170217,26.1400881995502
"Carpinus betulus",37.8497270308435,38.5734353668522,29.9742804612971
"Alnus glutinosa",43.5288517223671,36.761984070763,34.9210193608873
