"Predator.lifestage","Type.of.feeding.interaction","Location","Intercept","Slope","R.squared","F-statistic","P.value"
"juvenile","planktivorous","Gulf of Alaska",2.61342271573401,0.168911383542265,1,NA,NA
"juvenile","predacious","Gulf of Alaska",1.03740927157129,0.049375200497881,0.233159571052914,12.4661429579231,0.00103966946595515
"juvenile","predacious","Off the Bay of Biscay",8.62335338724462,-6.27387258282986e-17,0.498159615814718,595.599276001025,6.80702862402824e-92
"juvenile","predacious","Oxwich Bay, Wales",-0.594631029295368,0.0778070237368167,0.080545974091978,115.021372469738,8.77947893508195e-26
"juvenile","predacious","W Greenland",-0.222974995676025,0.211068293434798,0.28726820046152,56.4273238413876,6.25892370613664e-12
"larva","planktivorous","Antarctic Peninsula",11.1598881317021,1.02077538176859,0.330043815585916,156.165271662109,2.07689904818993e-29
"larva","planktivorous","Catalan Sea",-2.19426552537672,0.25765387239584,0.280072857461197,170.005867925651,4.70821273070404e-33
"larva","planktivorous","Greenland",-2.05086434618492,0.258813702633504,0.0982205090743172,5.1191715634985,0.0283256454055265
"larva","planktivorous","Western North Pacific",-3.4487184256598,0.161010317505002,0.0857054685549194,20.2477216817681,1.11138645151157e-05
"larva","predacious","Andaman Sea (West of South Thailand)",7.00529694337674,0.941421745921813,0.412420670135113,22.4607312979481,4.23336436449333e-05
"larva","predacious","Antarctic Peninsula",7.41883913802823,0.724801160896601,0.637066906559136,1662.29636099526,1.22794430266788e-210
"larva","predacious","Western North Pacific",-2.66286554355492,0.150488902922313,0.146191921213292,38.8677115383767,2.1873875125151e-09
"larva / juvenile","insectivorous","Strait of Georgia",3.60032838802313,0.384249046154572,0.125577629410637,4.30836287934849,0.0465944025225444
"larva / juvenile","piscivorous","Strait of Georgia",4.96732009411791,0.652630804441673,0.502262057547569,9.08180416316188,0.0146301686798565
"larva / juvenile","planktivorous","Strait of Georgia",5.083129495985,0.537539976546299,0.2383099678989,36.9186611704769,1.55071505486174e-08
"larva / juvenile","predacious","NE North Sea and Skaggerak",10.4119448445479,1.09890063283713,0.71542157959282,47.7654278662958,1.36957984453216e-06
"larva / juvenile","predacious","Strait of Georgia",8.33400945206011,0.88300095710698,0.489751949277145,445.36163174492,8.46774084694612e-70
"postlarva","piscivorous","Antarctic Peninsula",-2.52746573405741,0.106773528674382,0.038969869305227,1.25705314524184,0.270820006991041
"postlarva","predacious","Antarctic Peninsula",-1.61375195212254,0.15403834606651,0.109207422360888,8.58170550266892,0.00458060708606847
"postlarva/juvenile","piscivorous","Antarctic Peninsula",0.242446120869743,NA,0,NA,NA
"postlarva/juvenile","planktivorous","Antarctic Peninsula",6.81310614810304,0.675479706794874,0.231238785388308,78.8080363840136,1.10590667174271e-16
"postlarva/juvenile","predacious","Antarctic Peninsula",1.94865346657022,0.232955400394707,0.144074981970457,98.9760640408157,1.17383192983129e-21
